"Navn";"NVDB_id";"SkiltetLengde";"Åpningsår";"Kommune";"AntallTunnelløp";"MaksAngittLengdeTunnelløp";"MaksFysiskLengdeTunnelløp";"ÅpningsårFraTunnelløp";"kommunerTunnelløp";"SSRtreff";"soketerm";"soketerm2";"X_utm32";"y_utm32";"SSR navn";"ssr_url"
"Skatestraumtunnelen";"78730377";"1902";"2002";"1438";"1";"1902.0";"1897.120985912643";"";"1438";"EKSAKT";"Skatestraumtunnelen";"";"300936.41461486917";"6865944.526251094";"Skatestraumtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Skatestraumtunnelen%2A&ostLL=-30307.406929999997&nordLL=6881938.239&ostUR=3692.593070000001&nordUR=6915938.239"
"Haukedaltunnelen";"78730843";"65";"2002";"1438";"1";"67.0";"67.1670565665443";"";"1438";"EKSAKT-forenklet1";"haukedal";"";"304010.56880934956";"6865216.6111943405";"Haukedal";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=haukedal%2A&ostLL=-27305.61002&nordLL=6880926.25594&ostUR=6694.38998&nordUR=6914926.25594"
"Krakeviktunnelen";"78730850";"489";"2002";"1438";"1";"489.0";"490.0205065248026";"";"1438";"EKSAKT";"Krakeviktunnelen";"";"305560.9604664017";"6865450.837186064";"Krakeviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Krakeviktunnelen%2A&ostLL=-25735.9481&nordLL=6881016.27966&ostUR=8264.0519&nordUR=6915016.27966"
"Yste Jarva tunnelen";"78730949";"82";"2002";"1417";"1";"82.0";"79.88077047050706";"";"1417";"INGEN";"yste jarva";"yste jarv";"385721.2904237832";"6777695.424410019";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=yste+jarv%2A&ostLL=46173.3&nordLL=6786016.5&ostUR=80173.3&nordUR=6820016.5"
"Nautskredatunnelen";"78730952";"180";"2000";"1418";"1";"180.0";"179.5870731510021";"";"1418";"EKSAKT-forenklet1";"nautskreda";"";"368578.1350394123";"6796909.076745094";"Nautskreda";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=nautskreda%2A&ostLL=30832.918980000002&nordLL=6806769.68722&ostUR=64832.91898&nordUR=6840769.68722"
"Bakkatunnelen";"78730985";"1751";"2001";"1421";"1";"1755.0";"1682.797995104559";"";"1421";"EKSAKT";"Bakkatunnelen";"";"383267.55989386747";"6752694.053846283";"Bakkatunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Bakkatunnelen%2A&ostLL=41427.88656&nordLL=6761290.96951&ostUR=75427.88656&nordUR=6795290.96951"
"Berleporten";"78731227";"860";"1973";"1438";"1";"860.0";"858.3346370703005";"";"1438";"INGEN";"berleporten";"berleport";"297705.30729063967";"6866131.173795868";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=berleport%2A&ostLL=-33516.2&nordLL=6882424.4&ostUR=483.7999999999993&nordUR=6916424.4"
"Lærdalstunnelen";"78731474";"24500";"2000";"1421";"1";"24509.0";"24545.023231707466";"";"1421,1422";"FLERE";"Lærdalstunnelen";"";"412351.4783222405";"6760934.49653024";"Lærdalstunnelen,Lærdalstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=L%C3%A6rdalstunnelen%2A&ostLL=71206.76854&nordLL=6766844.94757&ostUR=105206.76854&nordUR=6800844.94757"
"Harefossentunnelen";"78736449";"147";"2000";"1429";"1";"146.0";"146.7686143732191";"";"1429";"EKSAKT-forenklet1";"harefoss";"";"305987.710303875";"6796405.069322884";"Harefossen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=harefoss%2A&ostLL=-31697.108070000002&nordLL=6812036.61001&ostUR=2302.89193&nordUR=6846036.61001"
"Lutefuratunnelen";"78736720";"186";"2000";"1429";"1";"186.0";"186.2869978226809";"";"1429";"EKSAKT-forenklet1";"lutefura";"";"304879.2855709754";"6798813.438722284";"Lutefura";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lutefura%2A&ostLL=-32581.72948&nordLL=6814543.71017&ostUR=1418.27052&nordUR=6848543.71017"
"Brunsviktunnelen";"78736769";"709";"1997";"1439";"1";"709.0";"707.9680762325105";"";"1439";"INGEN";"brunsvik";"brunsvik";"306304.33391118445";"6870071.936811108";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=brunsvik%2A&ostLL=-24564.98665&nordLL=6885561.01382&ostUR=9435.013350000001&nordUR=6919561.01382"
"Førenestunnelen";"78736881";"302";"1997";"1431";"1";"302.0";"302.9202930613655";"";"1431";"EKSAKT";"Førenestunnelen";"";"370718.85580037296";"6824446.0604375135";"Førenestunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=F%C3%B8renestunnelen%2A&ostLL=35509.34702&nordLL=6834054.66194&ostUR=69509.34702&nordUR=6868054.66194"
"Heggeviktunnelen";"78737042";"180";"2000";"1429";"1";"178.0";"180.2717773093887";"";"1429";"EKSAKT-forenklet1";"heggevik";"";"305558.60965895065";"6800481.019861031";"Heggevik";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=heggevik%2A&ostLL=-31749.53409&nordLL=6816146.16558&ostUR=2250.465910000001&nordUR=6850146.16558"
"Hjelletunnelen";"78737148";"2560";"1996";"1449";"1";"2564.0";"2570.723021779392";"";"1449";"FLERE";"Hjelletunnelen";"";"401328.9340495998";"6865214.289857313";"Hjelletunnelen,Hjelletunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hjelletunnelen%2A&ostLL=69823.03823&nordLL=6871904.10882&ostUR=103823.03823&nordUR=6905904.10882"
"Kvernbergtunnelen";"78737530";"779";"1996";"1432";"1";"779.0";"785.3001539909507";"";"1432";"EKSAKT-forenklet1";"kvernberg";"";"330634.9811076071";"6817893.6844272";"Kvernberg";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kvernberg%2A&ostLL=-5105.3321&nordLL=6831216.2481&ostUR=28894.6679&nordUR=6865216.2481"
"Storesvatunnelen";"78737733";"884";"1992";"1432";"1";"884.0";"883.4021898825578";"";"1432";"EKSAKT";"Storesvatunnelen";"";"356872.39180302084";"6811787.153404045";"Storesvatunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Storesvatunnelen%2A&ostLL=20521.3908&nordLL=6822698.52757&ostUR=54521.3908&nordUR=6856698.52757"
"Søreidetunnelen";"78737828";"1881";"1985";"1416";"1";"1881.0";"1882.9676058489872";"";"1416";"INGEN";"søreid";"søreid";"331987.2682744644";"6778958.694529458";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=s%C3%B8reid%2A&ostLL=-7345.55797&nordLL=6792221.36834&ostUR=26654.44203&nordUR=6826221.36834"
"Naustdalstunnelen";"78737835";"5960";"1995";"1433";"1";"5970.0";"6013.760259129103";"";"1401,1433";"FLERE";"naustdal";"";"324561.23143656657";"6827698.240883431";"Naustdaltunnelen,Naustdal";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=naustdal%2A&ostLL=-10262.87887&nordLL=6841565.57557&ostUR=23737.12113&nordUR=6875565.57557"
"Amlatunnelen";"78738433";"2969";"1995";"1420";"3";"2969.0";"2475.7968172208066";"";"1420";"EKSAKT";"Amlatunnelen";"";"409761.98496951896";"6783047.138884382";"Amlatunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Amlatunnelen%2A&ostLL=70654.51971&nordLL=6789146.04497&ostUR=104654.51971&nordUR=6823146.04497"
"Fodnestunnelen";"78738838";"6604";"1995";"1422";"1";"6604.0";"6604.142226094517";"";"1422";"EKSAKT";"Fodnestunnelen";"";"416647.33702582406";"6778169.57772706";"Fodnestunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fodnestunnelen%2A&ostLL=77075.86143&nordLL=6783646.55545&ostUR=111075.86143&nordUR=6817646.55545"
"Raubergtunnelen";"78739510";"120";"1966";"1422";"1";"120.0";"122.38713423040558";"";"1422";"INGEN";"rauberg";"rauberg";"416749.33154440427";"6775367.131617255";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=rauberg%2A&ostLL=76920.08791&nordLL=6780841.14687&ostUR=110920.08791&nordUR=6814841.14687"
"Holmahaugtunnelen";"78739526";"88";"1994";"1420";"1";"88.0";"87.85228961380258";"";"1420";"EKSAKT";"Holmahaugtunnelen";"";"380563.2214931527";"6811099.707280811";"Holmahaugtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Holmahaugtunnelen%2A&ostLL=44102.00978&nordLL=6819827.07096&ostUR=78102.00978&nordUR=6853827.07096"
"Bergstunnelen";"78739544";"2595";"1994";"1420";"1";"2595.0";"2595.040076050958";"";"1420";"EKSAKT";"Bergstunnelen";"";"380571.9624057772";"6808773.039688387";"Bergstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Bergstunnelen%2A&ostLL=43896.18304&nordLL=6817504.399&ostUR=77896.18304&nordUR=6851504.399"
"Frudalstunnelen";"78739835";"6758";"1994";"1420";"1";"6758.0";"6763.098369057004";"";"1420";"EKSAKT";"Frudalstunnelen";"";"383509.81054550764";"6805201.005830625";"Frudalstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Frudalstunnelen%2A&ostLL=46498.65083&nordLL=6813668.92485&ostUR=80498.65083&nordUR=6847668.92485"
"Kleivatunnelen";"78740514";"910";"1981";"1431";"1";"907.0";"908.3503331844264";"";"1431";"EKSAKT";"Kleivatunnelen";"";"367161.2951636919";"6825962.205279512";"Kleivatunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Kleivatunnelen%2A&ostLL=32098.92121&nordLL=6835896.31509&ostUR=66098.92121&nordUR=6869896.31509"
"Bjørnabakktunnelen";"78740649";"434";"1981";"1431";"1";"434.0";"435.0093674296163";"";"1431";"EKSAKT";"Bjørnabakktunnelen";"";"369713.8719392391";"6825213.415160918";"Bjørnabakktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Bj%C3%B8rnabakktunnelen%2A&ostLL=34577.24477&nordLL=6834913.27978&ostUR=68577.24476999999&nordUR=6868913.27978"
"Fjærlandstunnelen";"78740720";"6390";"1986";"1431";"1";"6404.0";"6401.404217354231";"";"1420,1431";"EKSAKT";"Fjærlandstunnelen";"";"376866.7487277137";"6819917.6801045975";"Fjærlandstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fj%C3%A6rlandstunnelen%2A&ostLL=41226.68763&nordLL=6828967.92065&ostUR=75226.68763&nordUR=6862967.92065"
"Fretheimtunnelen";"78741353";"1360";"1992";"1421";"1";"1363.0";"1365.111888779081";"";"1421";"EKSAKT";"Fretheimtunnelen";"";"397904.9998967754";"6748448.014485159";"Fretheimtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fretheimtunnelen%2A&ostLL=55645.95149000001&nordLL=6755710.81514&ostUR=89645.95149&nordUR=6789710.81514"
"Bermålstunnelen";"78741527";"1639";"1993";"1422";"1";"1639.0";"1637.350883354424";"";"1424,1422";"EKSAKT";"Bermålstunnelen";"";"418085.1658451798";"6783519.219339496";"Bermålstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Berm%C3%A5lstunnelen%2A&ostLL=79002.16059&nordLL=6788851.72133&ostUR=113002.16059&nordUR=6822851.72133"
"Timreskredtunnelen";"78741691";"1000";"1993";"1424";"1";"1011.0";"1014.2581776497507";"";"1424";"EKSAKT";"Timreskredtunnelen";"";"421850.6082193479";"6784995.512734456";"Timreskredtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Timreskredtunnelen%2A&ostLL=82894.59207&nordLL=6789978.35279&ostUR=116894.59207&nordUR=6823978.35279"
"Sandetunnelen";"78741808";"632";"1967";"1438";"1";"632.0";"630.4766413605889";"";"1438";"INGEN";"sand";"sand";"304672.0140290619";"6854649.360836563";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=sand%2A&ostLL=-27625.11334&nordLL=6870314.28749&ostUR=6374.88666&nordUR=6904314.28749"
"Svoragrovatunnelen";"78741962";"193";"1986";"1449";"1";"193.0";"189.50869954318148";"";"1449";"INGEN";"svoragrova";"svoragrov";"383559.1741818085";"6843663.076489798";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=svoragrov%2A&ostLL=50098.699479999996&nordLL=6852045.23664&ostUR=84098.69948&nordUR=6886045.23664"
"Berganetunnelen";"78741973";"168";"1969";"1449";"1";"168.0";"168.41440008349645";"";"1449";"INGEN";"bergan";"berg";"392917.82621174346";"6870440.43665785";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=berg%2A&ostLL=61915.25075000001&nordLL=6877897.39381&ostUR=95915.25075&nordUR=6911897.39381"
"Skibergfjellettunnelen";"78741978";"1036";"1994";"1449";"1";"1036.0";"1038.3834111210997";"";"1449";"INGEN";"skibergfjell";"skibergfjell";"391122.56336706766";"6869133.193186695";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=skibergfjell%2A&ostLL=60002.91506&nordLL=6876759.4254&ostUR=94002.91506&nordUR=6910759.4254"
"Eitrånatunnelen";"78742086";"1056";"1981";"1443";"1";"1056.0";"1058.4249297052907";"";"1443";"INGEN";"eitråna";"eitrån";"350504.8719585545";"6860846.903279105";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=eitr%C3%A5n%2A&ostLL=18702.13828&nordLL=6872253.62099&ostUR=52702.13828&nordUR=6906253.62099"
"Kjørviktunnelen";"78742092";"104";"1969";"1445";"1";"104.0";"104.98446369365195";"";"1445";"INGEN";"kjørvik";"kjørvik";"357838.9947982323";"6848944.227282988";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kj%C3%B8rvik%2A&ostLL=24919.817239999997&nordLL=6859694.88494&ostUR=58919.81724&nordUR=6893694.88494"
"Hamnestunnelen";"78742095";"64";"1968";"1443";"1";"64.0";"64.29374446064955";"";"1443";"INGEN";"hamne";"hamn";"328369.0099734479";"6866629.360416991";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=hamn%2A&ostLL=-2856.88572&nordLL=6880077.30009&ostUR=31143.11428&nordUR=6914077.30009"
"Svardaltunnelen";"78742099";"70";"1964";"1401";"1";"68.0";"67.71264974760453";"";"1401";"INGEN";"svardal";"svardal";"312570.93456480943";"6827736.398113428";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=svardal%2A&ostLL=-22230.21568&nordLL=6842712.29094&ostUR=11769.784319999999&nordUR=6876712.29094"
"Gjerdviktunnelen";"78742103";"90";"1976";"1428";"1";"90.0";"90.22238202414891";"";"1428";"INGEN";"gjerdvik";"gjerdvik";"287526.3431276723";"6808877.833734696";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=gjerdvik%2A&ostLL=-48981.15999&nordLL=6826195.97462&ostUR=-14981.15999&nordUR=6860195.97462"
"Klubbentunnelen";"78742107";"144";"1972";"1416";"1";"144.0";"144.66863402379448";"";"1416";"INGEN";"klubb";"klubb";"321488.5888881318";"6791360.261772519";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=klubb%2A&ostLL=-16684.98138&nordLL=6805570.14851&ostUR=17315.01862&nordUR=6839570.14851"
"Vamråktunnelen";"78742110";"241";"1972";"1416";"1";"241.0";"242.24952411259974";"";"1416";"INGEN";"vamråk";"vamråk";"332538.8064820559";"6780720.334508572";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=vamr%C3%A5k%2A&ostLL=-6632.734850000001&nordLL=6793929.34473&ostUR=27367.26515&nordUR=6827929.34473"
"Bjordaltunnelen";"78742115";"1552";"1977";"1416";"1";"1552.0";"1596.088596441079";"";"1416";"INGEN";"bjordal";"bjordal";"330373.20085372136";"6777376.962977321";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=bjordal%2A&ostLL=-9102.6076&nordLL=6790790.7934&ostUR=24897.3924&nordUR=6824790.7934"
"Brattebakktunnelen";"78742122";"140";"1955";"1416";"1";"140.0";"142.81425736017792";"";"1416";"INGEN";"brattebakk";"brattebakk";"311786.1282034051";"6785294.42533467";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=brattebakk%2A&ostLL=-26931.6048&nordLL=6800407.79886&ostUR=7068.395200000001&nordUR=6834407.79886"
"Rambergtunnelen";"78742127";"400";"1990";"1416";"1";"400.0";"400.31592647238926";"";"1416";"INGEN";"ramberg";"ramberg";"318472.5200753029";"6775053.475988941";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=ramberg%2A&ostLL=-21198.48258&nordLL=6789566.4487&ostUR=12801.51742&nordUR=6823566.4487"
"Hauglandtunnelen";"78742177";"838";"1968";"1411";"1";"838.0";"841.1968110257949";"";"1411";"EKSAKT-forenklet1";"haugland";"";"309140.7695229733";"6768349.51266903";"Hauglandstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=haugland%2A&ostLL=-31133.44198&nordLL=6783731.27917&ostUR=2866.5580200000004&nordUR=6817731.27917"
"Instefjordtunnelen";"78742182";"538";"1968";"1411";"1";"538.0";"539.3456469553092";"";"1411";"EKSAKT";"Instefjordtunnelen";"";"309321.7322945844";"6767055.118619221";"Instefjordtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Instefjordtunnelen%2A&ostLL=-31071.8433&nordLL=6782422.09352&ostUR=2928.1566999999995&nordUR=6816422.09352"
"Ramnabergtunnelen";"78742187";"1496";"1976";"1417";"1";"1496.0";"1519.3831596474215";"";"1417";"INGEN";"ramnaberg";"ramnaberg";"384804.97003970615";"6779618.697099111";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=ramnaberg%2A&ostLL=45435.72613&nordLL=6788020.10488&ostUR=79435.72613&nordUR=6822020.10488"
"Framfjordtunnelen";"78742193";"864";"1974";"1417";"1";"864.0";"857.0772572230244";"";"1417";"INGEN";"framfjord";"framfjord";"359784.2207583548";"6767673.941253186";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=framfjord%2A&ostLL=19365.158969999997&nordLL=6778399.07601&ostUR=53365.15897&nordUR=6812399.07601"
"Merkeskredatunnelen";"78742272";"1537";"1981";"1426";"1";"1537.0";"1532.4647961735843";"";"1426";"INGEN";"merkeskreda";"merkeskred";"397370.31964248983";"6815606.69874648";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=merkeskred%2A&ostLL=61288.898610000004&nordLL=6822774.4052&ostUR=95288.89861&nordUR=6856774.4052"
"Svoritunnelen";"78742278";"170";"1982";"1426";"1";"170.0";"167.13611058915967";"";"1426";"INGEN";"svor";"svor";"398370.9435651353";"6813940.669627998";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=svor%2A&ostLL=62133.673129999996&nordLL=6821019.77074&ostUR=96133.67313&nordUR=6855019.77074"
"Stølsnestunnelen";"78742281";"969";"1983";"1426";"1";"969.0";"967.9760289775691";"";"1426";"INGEN";"stølsne";"stølsn";"398859.2429936203";"6810642.943367443";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=st%C3%B8lsn%2A&ostLL=62316.84195&nordLL=6817684.29909&ostUR=96316.84195&nordUR=6851684.29909"
"Bergaskredatunnelen";"78742286";"510";"1983";"1426";"1";"510.0";"510.11184774417285";"";"1426";"INGEN";"bergaskreda";"bergaskred";"398109.79816873645";"6806383.2434984585";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=bergaskred%2A&ostLL=61176.4201&nordLL=6813503.04468&ostUR=95176.4201&nordUR=6847503.04468"
"Stokkanestunnelen";"78742293";"353";"1966";"1426";"1";"353.0";"349.9939736783556";"";"1426";"INGEN";"stokkane";"stokkan";"414639.0081470931";"6804539.549227956";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=stokkan%2A&ostLL=77498.49034&nordLL=6810140.58156&ostUR=111498.49034&nordUR=6844140.58156"
"Sørheim 2 tunnelen";"78742297";"878";"1965";"1426";"1";"878.0";"885.0204718379238";"";"1426";"INGEN";"sørheim";"sørheim";"423290.89570154366";"6814715.270122251";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=s%C3%B8rheim%2A&ostLL=87067.63265&nordLL=6819495.05812&ostUR=121067.63265&nordUR=6853495.05812"
"Sørheim 1 tunnelen";"78742302";"297";"1965";"1426";"1";"297.0";"294.5140160679752";"";"1426";"INGEN";"sørheim";"sørheim";"424777.2222066066";"6816372.301464213";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=s%C3%B8rheim%2A&ostLL=88703.13343&nordLL=6821011.08499&ostUR=122703.13343&nordUR=6855011.08499"
"Vindfylletunnelen";"78742307";"1083";"1993";"1443";"1";"1083.0";"1079.748425026668";"";"1443";"EKSAKT";"Vindfylletunnelen";"";"318797.9043005225";"6870637.672482959";"Vindfylletunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Vindfylletunnelen%2A&ostLL=-12039.58253&nordLL=6884966.48539&ostUR=21960.41747&nordUR=6918966.48539"
"Erviktunnelen";"78742455";"679";"1993";"1443";"1";"679.0";"677.3083632572251";"";"1443";"EKSAKT";"Erviktunnelen";"";"322206.04182180203";"6870067.009585063";"Erviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Erviktunnelen%2A&ostLL=-8690.23148&nordLL=6884080.59574&ostUR=25309.768519999998&nordUR=6918080.59574"
"Seimsdaltunnelen";"78742562";"1515";"1965";"1424";"1";"1515.0";"1521.2958895852512";"";"1424";"EKSAKT-forenklet1";"seimsdal";"";"429037.6533088319";"6789955.535812378";"Seimsdalstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=seimsdal%2A&ostLL=90520.7341&nordLL=6794265.64843&ostUR=124520.7341&nordUR=6828265.64843"
"Kongenestunnelen";"78742770";"1118";"1992";"1443";"1";"1118.0";"1106.9846229803038";"";"1443";"FLERE";"kongene";"";"360346.59082710417";"6868402.201857377";"Kongeneset tunnel,Kongeneset";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kongene%2A&ostLL=29224.675860000003&nordLL=6878881.99222&ostUR=63224.67586&nordUR=6912881.99222"
"Høyangertunnelen";"78742909";"7543";"1982";"1416";"1";"7543.0";"7548.985912811999";"";"1416,1418";"EKSAKT";"Høyangertunnelen";"";"347209.51963285974";"6789045.63969813";"Høyangertunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=H%C3%B8yangertunnelen%2A&ostLL=8779.64387&nordLL=6800889.39517&ostUR=42779.64387&nordUR=6834889.39517"
